GRIB2
0 3 12  "THICK" "Thickness" "m"
0 3 13  "PRESALT" "Pressure Altitude" "m"
0 3 14  "DENALT" "Density Altitude" "m"
0 3 15  "5WAVH" "5-Wave Geopotential Height" "gpm"
0 3 16  "U-GWD" "Zonal Flux of Gravity Wave Stress" "N/m^2"
0 3 17  "V-GWD" "Meridional Flux of Gravity Wave Stress" "N/m^2"
0 3 18  "HPBL" "Planetary Boundary Layer Height" "m"
0 3 19  "5WAVA" "5-Wave Geopotential Height Anomaly" "gpm"
0 3 20  "SDSGSO" "Standard Deviation Of Sub-Grid Scale Orography" "m"
0 3 21  "AOSGSO" "Angle Of Sub-Grid Scale Orography" "Rad"
0 3 22  "SSGSO" "Slope Of Sub-Grid Scale Orography" "Numeric"
0 3 23  "GSGSO" "Gravity Of Sub-Grid Scale Orography" "W/m^2"
0 3 24  "ASGSO" "Anisotropy Of Sub-Grid Scale Orography" "Numeric"
0 3 25  "NLPRES" "Natural Logarithm Of Pressure in Pa" "Numeric"
0 3 192  "MSLET" "MSLP (Eta model reduction)" "Pa"
0 3 193  "5WAVH" "5-Wave Geopotential Height" "gpm"
0 3 194  "U-GWD" "Zonal Flux of Gravity Wave Stress" "N/m^2"
0 3 195  "V-GWD" "Meridional Flux of Gravity Wave Stress" "N/m^2"
0 3 196  "HPBL" "Planetary Boundary Layer Height" "m"
0 3 197  "5WAVA" "5-Wave Geopotential Height Anomaly" "gpm"
0 3 198  "MSLMA" "MSLP (MAPS System Reduction)" "Pa"
0 3 199  "TSLSA" "3-hr pressure tendency (Std. Atmos. Reduction)" "Pa/s"
0 3 200  "PLPL" "Pressure of level from which parcel was lifted" "Pa"
0 3 201  "LPSX" "X-gradient of Log Pressure" "1/m"
0 3 202  "LPSY" "Y-gradient of Log Pressure" "1/m"
0 3 203  "HGTX" "X-gradient of Height" "1/m"
0 3 204  "HGTY" "Y-gradient of Height" "1/m"
0 3 205  "LAYTH" "Layer Thickness" "m"
0 3 206  "NLGSP" "Natural Log of Surface Pressure" "ln(kPa)"
0 3 207  "CNVUMF" "Convective updraft mass flux" "kg/m2/s"
